"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
cbbafabbbbaababbabbaabbbbaaaaaaaabd	23340097025
cbbebabbbbaababbabbaabbbbaaaaaaaabd	23340097025
cbfbbabbbbaababbabbaabbbbaaaaaaaabd	23340097025
cgabbabbbbaababbabbaabbbbaaaaaaaabd	23340097025
cababbabbbbaababbabbaabbbbaaaaaaaabd	23340097025
cababbabbbbaababbabbaabbbbaaaaaaaagd	35010145538
cababbabbbbaababbabbaabbbbaaaaaaafad	35010145538
cababbabbbbaababbabbaabbbbaaaaaaebad	35010145538
cababbabbbbaababbabbaabbbbaaaaaeabad	35010145538
cababbabbbbaababbabbaabbbbaaaaeaabad	35010145538
cababbabbbbaababbabbaabbbbaaaeaaabad	35010145538
cababbabbbbaababbabbaabbbbaaeaaaabad	35010145538
cababbabbbbaababbabbaabbbbaeaaaaabad	35010145538
cababbabbbbaababbabbaabbbbeaaaaaabad	35010145538
cababbabbbbaababbabbaabbbfbaaaaaabad	35010145538
cababbabbbbaababbabbaabbgabaaaaaabad	35010145538
cababbabbbbaababbabbaabgbabaaaaaabad	35010145538
cababbabbbbaababbabbaagbbabaaaaaabad	35010145538
cababbabbbbaababbabbafabbabaaaaaabad	35010145538
cababbabbbbaababbabbebabbabaaaaaabad	35010145538
cababbabbbbaababbabfbbabbabaaaaaabad	35010145538
cababbabbbbaababbagabbabbabaaaaaabad	35010145538
cababbabbbbaababbfaabbabbabaaaaaabad	35010145538
cababbabbbbaababgaaabbabbabaaaaaabad	35010145538
cababbabbbbaabagbaaabbabbabaaaaaabad	35010145538
cababbabbbbaabfabaaabbabbabaaaaaabad	35010145538
cababbabbbbaagaabaaabbabbabaaaaaabad	35010145538
cababbabbbbafaaabaaabbabbabaaaaaabad	35010145538
cababbabbbbebaaabaaabbabbabaaaaaabad	35010145538
